"CoreId","Identifier","type","rightsHolder","creator","accessURI","format","variantLiteral","license"
"113395392@OBS","https://observation.org/photos/9999534/","StillImage","Henny de Bruin","Henny de Bruin","https://observation.org/photos/9999534.jpg","image/jpeg","Best Quality","CC BY-NC-ND 4.0"
"113395392@OBS","https://observation.org/photos/9999533/","StillImage","Henny de Bruin","Henny de Bruin","https://observation.org/photos/9999533.jpg","image/jpeg","Best Quality","CC BY-NC-ND 4.0"
"106060222@OBS","https://observation.org/photos/9999531/","StillImage","Harm Alberts","Harm Alberts","https://observation.org/photos/9999531.jpg","image/jpeg","Best Quality","CC BY-NC-ND 4.0"
"45689401@OBS","https://observation.org/photos/999952/","StillImage","Hans Bouman","Hans Bouman","https://observation.org/photos/999952.jpg","image/jpeg","Best Quality","CC BY-NC-ND 4.0"
"113395327@OBS","https://observation.org/photos/9999517/","StillImage","Henny de Bruin","Henny de Bruin","https://observation.org/photos/9999517.jpg","image/jpeg","Best Quality","CC BY-NC-ND 4.0"
"113395327@OBS","https://observation.org/photos/9999516/","StillImage","Henny de Bruin","Henny de Bruin","https://observation.org/photos/9999516.jpg","image/jpeg","Best Quality","CC BY-NC-ND 4.0"
"113395026@OBS","https://observation.org/photos/9999511/","StillImage","Harm Alberts","Harm Alberts","https://observation.org/photos/9999511.jpg","image/jpeg","Best Quality","CC BY-NC-ND 4.0"
"113395026@OBS","https://observation.org/photos/9999510/","StillImage","Harm Alberts","Harm Alberts","https://observation.org/photos/9999510.jpg","image/jpeg","Best Quality","CC BY-NC-ND 4.0"
"113395276@OBS","https://observation.org/photos/9999500/","StillImage","Wim Rubers","Wim Rubers","https://observation.org/photos/9999500.jpg","image/jpeg","Best Quality","CC BY-NC-ND 4.0"
"113395276@OBS","https://observation.org/photos/9999499/","StillImage","Wim Rubers","Wim Rubers","https://observation.org/photos/9999499.jpg","image/jpeg","Best Quality","CC BY-NC-ND 4.0"
"113395260@OBS","https://observation.org/photos/9999497/","StillImage","Leon Olsthoorn","Leon Olsthoorn","https://observation.org/photos/9999497.jpg","image/jpeg","Best Quality","CC BY-NC-ND 4.0"
"113395234@OBS","https://observation.org/photos/9999489/","StillImage","Leon Olsthoorn","Leon Olsthoorn","https://observation.org/photos/9999489.jpg","image/jpeg","Best Quality","CC BY-NC-ND 4.0"
"63346043@OBS","https://observation.org/photos/9999487/","StillImage","Raoul Beunen","Raoul Beunen","https://observation.org/photos/9999487.jpg","image/jpeg","Best Quality","CC BY-NC-ND 4.0"
"63346050@OBS","https://observation.org/photos/9999481/","StillImage","Raoul Beunen","Raoul Beunen","https://observation.org/photos/9999481.jpg","image/jpeg","Best Quality","CC BY-NC-ND 4.0"
"110634684@OBS","https://observation.org/photos/9999479/","StillImage","Bert Oving","Bert Oving","https://observation.org/photos/9999479.jpg","image/jpeg","Best Quality","CC BY-NC 4.0"
"63345988@OBS","https://observation.org/photos/9999474/","StillImage","Raoul Beunen","Raoul Beunen","https://observation.org/photos/9999474.jpg","image/jpeg","Best Quality","CC BY-NC-ND 4.0"
"63345922@OBS","https://observation.org/photos/9999466/","StillImage","Raoul Beunen","Raoul Beunen","https://observation.org/photos/9999466.jpg","image/jpeg","Best Quality","CC BY-NC-ND 4.0"
"113391091@OBS","https://observation.org/photos/9999460/","StillImage","Rutger Rotscheid","Rutger Rotscheid","https://observation.org/photos/9999460.jpg","image/jpeg","Best Quality","CC BY-NC-ND 4.0"
"113394904@OBS","https://observation.org/photos/9999458/","StillImage","Cor de Jong","Cor de Jong","https://observation.org/photos/9999458.jpg","image/jpeg","Best Quality","All rights reserved"
"63345881@OBS","https://observation.org/photos/9999451/","StillImage","Raoul Beunen","Raoul Beunen","https://observation.org/photos/9999451.jpg","image/jpeg","Best Quality","CC BY-NC-ND 4.0"
"113371268@OBS","https://observation.org/photos/9999450/","StillImage","Toon van Haren","Toon van Haren","https://observation.org/photos/9999450.jpg","image/jpeg","Best Quality","CC BY-NC-ND 4.0"
"113394862@OBS","https://observation.org/photos/9999445/","StillImage","Martin olthoff","Martin olthoff","https://observation.org/photos/9999445.jpg","image/jpeg","Best Quality","CC BY-NC-ND 4.0"
"63345894@OBS","https://observation.org/photos/9999439/","StillImage","Raoul Beunen","Raoul Beunen","https://observation.org/photos/9999439.jpg","image/jpeg","Best Quality","CC BY-NC-ND 4.0"
"113394843@OBS","https://observation.org/photos/9999437/","StillImage","Michel Gieskens","Michel Gieskens","https://observation.org/photos/9999437.jpg","image/jpeg","Best Quality","CC BY-NC-ND 4.0"
"113394767@OBS","https://observation.org/photos/9999436/","StillImage","Cor de Jong","Cor de Jong","https://observation.org/photos/9999436.jpg","image/jpeg","Best Quality","All rights reserved"
"63345850@OBS","https://observation.org/photos/9999435/","StillImage","Raoul Beunen","Raoul Beunen","https://observation.org/photos/9999435.jpg","image/jpeg","Best Quality","CC BY-NC-ND 4.0"
"113394767@OBS","https://observation.org/photos/9999432/","StillImage","Cor de Jong","Cor de Jong","https://observation.org/photos/9999432.jpg","image/jpeg","Best Quality","All rights reserved"
"113394767@OBS","https://observation.org/photos/9999430/","StillImage","Cor de Jong","Cor de Jong","https://observation.org/photos/9999430.jpg","image/jpeg","Best Quality","All rights reserved"
"113394767@OBS","https://observation.org/photos/9999428/","StillImage","Cor de Jong","Cor de Jong","https://observation.org/photos/9999428.jpg","image/jpeg","Best Quality","All rights reserved"
"113283182@OBS","https://observation.org/photos/9999426/","StillImage","Frans van Antwerpen","Frans van Antwerpen","https://observation.org/photos/9999426.jpg","image/jpeg","Best Quality","CC BY-NC-ND 4.0"
"113283182@OBS","https://observation.org/photos/9999425/","StillImage","Frans van Antwerpen","Frans van Antwerpen","https://observation.org/photos/9999425.jpg","image/jpeg","Best Quality","CC BY-NC-ND 4.0"
"113283182@OBS","https://observation.org/photos/9999423/","StillImage","Frans van Antwerpen","Frans van Antwerpen","https://observation.org/photos/9999423.jpg","image/jpeg","Best Quality","CC BY-NC-ND 4.0"
"113394380@OBS","https://observation.org/photos/9999418/","StillImage","Harm Alberts","Harm Alberts","https://observation.org/photos/9999418.jpg","image/jpeg","Best Quality","CC BY-NC-ND 4.0"
"63345755@OBS","https://observation.org/photos/9999417/","StillImage","Raoul Beunen","Raoul Beunen","https://observation.org/photos/9999417.jpg","image/jpeg","Best Quality","CC BY-NC-ND 4.0"
"113394424@OBS","https://observation.org/photos/9999415/","StillImage","Bert Stegeman","Bert Stegeman","https://observation.org/photos/9999415.jpg","image/jpeg","Best Quality","CC BY-NC-ND 4.0"
"113394481@OBS","https://observation.org/photos/9999403/","StillImage","Toon Vernooij","Toon Vernooij","https://observation.org/photos/9999403.jpg","image/jpeg","Best Quality","CC BY-NC-ND 4.0"
"113394481@OBS","https://observation.org/photos/9999400/","StillImage","Toon Vernooij","Toon Vernooij","https://observation.org/photos/9999400.jpg","image/jpeg","Best Quality","CC BY-NC-ND 4.0"
"1723052@OBS","https://observation.org/photos/99993/","StillImage","Pim Frijling","Pim & Marianne","https://observation.org/photos/99993.jpg","image/jpeg","Best Quality","CC BY-NC-ND 4.0"
"113394406@OBS","https://observation.org/photos/9999398/","StillImage","Harm Alberts","Harm Alberts","https://observation.org/photos/9999398.jpg","image/jpeg","Best Quality","CC BY-NC-ND 4.0"
"113394390@OBS","https://observation.org/photos/9999396/","StillImage","Raoul Beunen","Raoul Beunen","https://observation.org/photos/9999396.jpg","image/jpeg","Best Quality","CC BY-NC-ND 4.0"
"113394328@OBS","https://observation.org/photos/9999391/","StillImage","Harm Alberts","Harm Alberts","https://observation.org/photos/9999391.jpg","image/jpeg","Best Quality","CC BY-NC-ND 4.0"
"63341534@OBS","https://observation.org/photos/9999385/","StillImage","Raoul Beunen","Raoul Beunen","https://observation.org/photos/9999385.jpg","image/jpeg","Best Quality","CC BY-NC-ND 4.0"
"113394301@OBS","https://observation.org/photos/9999384/","StillImage","Harm Alberts","Harm Alberts","https://observation.org/photos/9999384.jpg","image/jpeg","Best Quality","CC BY-NC-ND 4.0"
